epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2697.15,0.05507,0.35144,0.87412,0.93848,0.86082,0.95888,0.95634,0.0778,0.29806,0.09953,0.0005644,0.0005644,0.0005644
68,2737.25,0.05543,0.34024,0.87251,0.8986,0.93027,0.95154,0.95111,0.08614,0.28849,0.0939,0.0005578,0.0005578,0.0005578
69,2777.33,0.05357,0.3366,0.87004,0.94081,0.93582,0.98251,0.98215,0.08703,0.24921,0.10148,0.0005512,0.0005512,0.0005512
70,2817.49,0.054,0.34527,0.87211,0.91444,0.86704,0.93866,0.93866,0.08402,0.37995,0.09948,0.0005446,0.0005446,0.0005446
71,2857.68,0.05493,0.33161,0.8724,0.92226,0.93749,0.9731,0.97237,0.10463,0.26587,0.11598,0.000538,0.000538,0.000538
72,2897.89,0.0566,0.33444,0.87417,0.90187,0.92217,0.95522,0.95519,0.07967,0.3251,0.09413,0.0005314,0.0005314,0.0005314
73,2937.98,0.05369,0.34878,0.87175,0.93948,0.93427,0.96866,0.96545,0.09603,0.23877,0.10894,0.0005248,0.0005248,0.0005248
74,2978.2,0.05116,0.32732,0.87641,0.93383,0.8729,0.96737,0.96737,0.08649,0.26546,0.09949,0.0005182,0.0005182,0.0005182
75,3018.25,0.0523,0.32623,0.87084,0.93439,0.89451,0.96324,0.96294,0.09645,0.26487,0.10796,0.0005116,0.0005116,0.0005116
76,3058.3,0.05015,0.33267,0.86941,0.9029,0.93099,0.97392,0.97343,0.0884,0.29041,0.09848,0.000505,0.000505,0.000505
77,3098.23,0.0514,0.32247,0.86947,0.78167,0.85268,0.89087,0.8896,0.11302,0.61082,0.1225,0.0004984,0.0004984,0.0004984
78,3138.33,0.04906,0.31161,0.87497,0.92741,0.92654,0.97076,0.97022,0.08387,0.26915,0.10149,0.0004918,0.0004918,0.0004918
79,3178.5,0.05066,0.30653,0.86978,0.94084,0.93616,0.97476,0.97419,0.08327,0.25162,0.09427,0.0004852,0.0004852,0.0004852
80,3218.54,0.04731,0.30537,0.86609,0.92361,0.89836,0.96304,0.96238,0.10468,0.31026,0.11061,0.0004786,0.0004786,0.0004786
81,3258.61,0.04824,0.30276,0.87042,0.91957,0.92054,0.97143,0.97096,0.08029,0.2529,0.09266,0.000472,0.000472,0.000472
82,3298.7,0.04693,0.31483,0.87188,0.92071,0.93175,0.97028,0.96973,0.08599,0.24142,0.09353,0.0004654,0.0004654,0.0004654
83,3338.71,0.04796,0.30558,0.86792,0.89873,0.91607,0.96398,0.96392,0.09342,0.33455,0.10545,0.0004588,0.0004588,0.0004588
84,3378.68,0.04725,0.30109,0.86905,0.92672,0.91393,0.96623,0.96541,0.06353,0.25564,0.08284,0.0004522,0.0004522,0.0004522
85,3418.84,0.04684,0.31692,0.87089,0.89738,0.92991,0.95601,0.95507,0.06694,0.24491,0.08286,0.0004456,0.0004456,0.0004456
86,3460.46,0.04615,0.30365,0.87217,0.90753,0.96678,0.98036,0.98018,0.07201,0.20694,0.08443,0.000439,0.000439,0.000439
87,3500.57,0.04661,0.2994,0.87322,0.91499,0.9365,0.96606,0.96534,0.09837,0.26954,0.10522,0.0004324,0.0004324,0.0004324
88,3540.58,0.04819,0.30344,0.86883,0.94549,0.94977,0.977,0.97691,0.0762,0.23321,0.08688,0.0004258,0.0004258,0.0004258
89,3580.51,0.04734,0.2926,0.86735,0.93486,0.94989,0.97097,0.97031,0.06808,0.20771,0.07874,0.0004192,0.0004192,0.0004192
90,3620.65,0.04591,0.29121,0.86761,0.94499,0.94104,0.97433,0.97431,0.1036,0.22799,0.10798,0.0004126,0.0004126,0.0004126
91,3660.94,0.0452,0.29452,0.87288,0.95717,0.92663,0.97665,0.97648,0.07865,0.20318,0.09326,0.000406,0.000406,0.000406
92,3700.98,0.04845,0.28454,0.87089,0.9539,0.93263,0.97649,0.97612,0.07447,0.21551,0.08908,0.0003994,0.0003994,0.0003994
93,3740.94,0.04597,0.28874,0.87175,0.92967,0.91911,0.97098,0.97043,0.08277,0.25236,0.0982,0.0003928,0.0003928,0.0003928
94,3781.14,0.04682,0.28444,0.87301,0.92651,0.93709,0.97255,0.97209,0.08099,0.24025,0.0993,0.0003862,0.0003862,0.0003862
95,3821.11,0.0448,0.28072,0.87058,0.93105,0.9326,0.97609,0.97603,0.07409,0.22641,0.09298,0.0003796,0.0003796,0.0003796
96,3861.14,0.04399,0.28165,0.87032,0.93049,0.93291,0.96818,0.96681,0.07762,0.26544,0.09039,0.000373,0.000373,0.000373
97,3901.28,0.04263,0.27697,0.86975,0.93651,0.92077,0.96771,0.96725,0.07071,0.24074,0.08625,0.0003664,0.0003664,0.0003664
98,3941.23,0.0419,0.27292,0.87118,0.93057,0.89637,0.97085,0.97071,0.0691,0.28191,0.08412,0.0003598,0.0003598,0.0003598
99,3981.24,0.04295,0.26907,0.87153,0.91808,0.92778,0.96821,0.9673,0.08214,0.27477,0.09199,0.0003532,0.0003532,0.0003532
100,4021.54,0.04248,0.26629,0.87363,0.94693,0.91965,0.97732,0.97667,0.06486,0.21572,0.08048,0.0003466,0.0003466,0.0003466
101,4061.59,0.04255,0.27484,0.86699,0.91419,0.92109,0.95985,0.95908,0.08659,0.28774,0.10101,0.00034,0.00034,0.00034
102,4101.73,0.04006,0.27352,0.87289,0.89566,0.93251,0.96927,0.9691,0.08848,0.26956,0.09887,0.0003334,0.0003334,0.0003334
103,4142.06,0.04168,0.25919,0.86973,0.93679,0.88588,0.96583,0.96509,0.09564,0.30833,0.10783,0.0003268,0.0003268,0.0003268
104,4182.36,0.04004,0.26154,0.87017,0.93877,0.90902,0.97203,0.97154,0.07498,0.24635,0.08784,0.0003202,0.0003202,0.0003202
105,4222.52,0.03988,0.25815,0.86863,0.92174,0.93435,0.9714,0.97081,0.08134,0.26264,0.09543,0.0003136,0.0003136,0.0003136
106,4262.83,0.04213,0.25651,0.8676,0.93141,0.92106,0.96926,0.96874,0.08917,0.24785,0.09344,0.000307,0.000307,0.000307
107,4302.96,0.03898,0.26637,0.87257,0.93469,0.91653,0.97384,0.97341,0.09896,0.26908,0.10198,0.0003004,0.0003004,0.0003004
108,4343.22,0.03849,0.25804,0.87257,0.92192,0.95133,0.98076,0.97972,0.0905,0.20183,0.10176,0.0002938,0.0002938,0.0002938
109,4383.28,0.03746,0.25465,0.87094,0.95914,0.92943,0.98431,0.98426,0.08596,0.19777,0.0953,0.0002872,0.0002872,0.0002872
110,4423.58,0.03754,0.25823,0.86977,0.92996,0.93876,0.97588,0.97477,0.12439,0.37045,0.13974,0.0002806,0.0002806,0.0002806
